0,6691
1,12026
2,11887
3,12026
4,11871
5,11864
6,11652
7,11685
8,11425
9,11347
10,11036
11,11106
12,10688
13,10462
14,10415
15,10126
16,9845
17,9612
18,9488
19,9228
20,8806
21,8449
22,8453
23,7991
24,7698
25,7509
26,7124
27,7001
28,6767
29,6410
30,6016
31,5712
32,5629
33,5283
34,5040
35,4611
36,4501
37,4275
38,3949
39,3780
40,3629
41,3226
42,3159
43,2901
44,2770
45,2622
46,2433
47,2085
48,2044
49,1868
50,1726
51,1686
52,1581
53,1423
54,1336
55,1181
56,1097
57,1080
58,900
59,871
60,708
61,710
62,613
63,580
64,564
65,451
66,444
67,379
68,369
69,336
70,270
71,283
72,236
73,194
74,179
75,196
76,169
77,158
78,153
79,148
80,107
81,110
82,100
83,106
84,103
85,83
86,94
87,96
88,76
89,79
90,75
91,75
92,63
93,62
94,62
95,62
96,62
97,75
98,64
99,87
100,78
101,71
102,72
103,71
104,69
105,58
106,59
107,69
108,64
109,64
110,66
111,79
112,70
113,65
114,66
115,59
116,75
117,90
118,111
119,67
120,91
121,126
122,84
123,76
124,96
125,93
126,77
127,77
128,86
129,81
130,89
131,96
132,66
133,73
134,91
135,83
136,49
137,86
138,66
139,74
140,58
141,39
142,41
143,63
144,62
145,49
146,44
147,45
148,47
149,37
150,44
151,32
152,45
153,41
154,37
155,52
156,68
157,35
158,49
159,35
160,34
161,29
162,37
163,35
164,27
165,36
166,32
167,38
168,41
169,34
170,28
171,32
172,29
173,35
174,41
175,24
176,17
177,19
178,21
179,23
180,26
181,20
182,20
183,30
184,36
185,21
186,26
187,23
188,22
189,25
190,11
191,18
192,28
193,24
194,14
195,19
196,17
197,17
198,17
199,13
200,19
201,12
202,15
203,9
204,14
205,11
206,12
207,19
208,6
209,12
210,12
211,10
212,15
213,12
214,12
215,4
216,4
217,11
218,5
219,5
220,7
221,6
222,5
223,2
224,5
225,6
226,2
227,2
228,3
229,2
230,1
231,1
232,0
233,0
234,0
235,2
236,0
237,0
238,0
239,2
240,0
241,2
242,0
243,1
244,2
245,1
246,1
247,1
248,1
249,1
250,0
251,0
252,0
253,0
254,0
255,13
